Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Udemy_Donanim\Project Outputs for Wireless_Security_Detector\Pick Place\Pick Place for Wireless_Detector.csv

========================================================================================================================
File Design Information:

Date:       18/07/22
Time:       21:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Height(mil)"
"C12","CL21B104KBCNNNC","TopLayer","C0805_CER","1122.047","1629.921","270","CAP CER 100nF %10 50V X7R 0805 SMD","0.000"
"D9","1N4148WS","TopLayer","SOD-323F","724.409","1933.071","270","Diode Standard 75 V 150mA Surface Mount SOD-323F VR=75V IF=150mA Trr=4ns P=200mW","0.000"
"Y2","ECS-160-20-30B-TR","TopLayer","ECS_CRYSTAL_16MHZ","1618.110","1464.567","225","CRYSTAL 16.0000MHZ 20PF SMD","0.000"
"Y1","ABS05-32.768KHZ-T","TopLayer","ABS05","1745.383","1826.102","270","CRYSTAL 32.7680KHZ 12.5PF SMD","0.000"
"USB1","10118192-0001LF","TopLayer","MICRO_B_USB_CONNECTOR_SMD","2055.118","138.780","0","CONN USB MICRO B RECPT SMT R/A","0.000"
"U7","NCS36000DRG","BottomLayer","SOIC14","2622.047","641.732","270","PIR Controller - NCS36000 Series Single 5.75V Passive Infrared Detector Controller (PIR) -SOIC-14","0.000"
"U6","MAX6662MSA+","TopLayer","SOIC8","1503.937","872.638","180","Temp Sensor Digital Serial (3-Wire, SPI) 8-Pin SOIC N Tube","0.000"
"U5","M41T00M6F","TopLayer","SOIC8","1576.092","1876.109","180","Real-time Clocks Clock/Calendar I2C, 2-Wire Serial 70uA @ 2V ~ 5.5V SOIC-8_150mil RoHS","0.000"
"U4","ESP32-WROOM-32 (16MB)","TopLayer","ESP32-WROOM-32","685.239","596.063","90","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Surface Mount","0.000"
"U3","STM32F103C6T6A","TopLayer","LQFP-48","1976.378","1464.567","270","MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP Tray","0.000"
"U2","AP7361-33E-13","TopLayer","SOT223","1318.898","1503.937","270","5VDC/3V3DC Converter
AP7361 Series 3.3 V 1 A Low SMT Dropout Fixed-Mode Regulator - SOT-223","0.000"
"U1","LM2675MX-12/NOPB","TopLayer","SOIC8","901.575","1285.236","180","12VDC/5VDC Converter
SIMPLE SWITCHER® 6.5V to 40V, 1A Low Component Count Step-Down Regulator 8-SOIC -40 to 125","0.000"
"T1","BV302S12010-ZU","TopLayer","BV302S","1102.362","2629.921","0","230VAC to12VAC Transformer 
Pwr Xfmr Laminated 1VA Th","0.000"
"SW1","EG1215AA","TopLayer","EG1215AA","838.583","92.520","0","Slide Switch, SPDT, 0.025A, 24V, SMD","0.000"
"S1","LHI 878/3902","TopLayer","LHI_878/3902","2964.730","543.438","180","SENSOR PYRO DETECTOR DUAL MOTION - Sensor PIR (Passive Infrared) TO-205AA, TO-5-3 Metal Can","0.000"
"RT1","TFPT1206L1002FM","BottomLayer","R1206","2807.087","232.284","90","Thermistor PTC 10K Ohm 1% 1206","0.000"
"RL2","ALQ112","TopLayer","ALQ112","2462.205","2893.701","90","RELAY GEN PURPOSE SPDT 10A 12V","0.000"
"RL1","ALQ112","TopLayer","ALQ112","1984.252","2893.701","90","RELAY GEN PURPOSE SPDT 10A 12V","0.000"
"R37","RC0603FR-0710KL","BottomLayer","R0603","2874.016","204.725","270","RES SMD 10K OHM 1% 1/10W 0603","0.000"
"R36","RC0603JR-07220KL","BottomLayer","R0603","2952.756","90.552","90","RES 220K OHM 5% 1/10W 0603","0.000"
"R35","RC0603FR-071KL","BottomLayer","R0603","3003.937","90.552","90","RES SMD 1K OHM 1% 1/10W 0603","0.000"
"R34","RC0603JR-07220KL","BottomLayer","R0603","2901.575","90.552","90","RES 220K OHM 5% 1/10W 0603","0.000"
"R33","RC0603JR-0743KL","BottomLayer","R0603","2767.716","874.016","270","RES 43K OHM 5% 1/10W 0603","0.000"
"R32","RC0603JR-070RL","BottomLayer","R0603","2594.488","452.756","90","RES SMD 0 OHM JUMPER %1 1/10W 0603","0.000"
"R31","RC0603JR-070RL","BottomLayer","R0603","2649.606","452.756","90","RES SMD 0 OHM JUMPER %1 1/10W 0603","0.000"
"R30","RC0603FR-0710KL","BottomLayer","R0603","2677.166","877.953","270","RES SMD 10K OHM 1% 1/10W 0603","0.000"
"R29","RC0603FR-071KL","TopLayer","R0603","2574.803","200.787","270","RES SMD 1K OHM 1% 1/10W 0603","0.000"
"R28","RC0603JR-07560KL","BottomLayer","R0603","2598.425","854.331","180","RES 560K OHM 5% 1/10W 0603","0.000"
"R27","RC0603JR-07220KL","BottomLayer","R0603","2492.126","452.756","90","RES 220K OHM 5% 1/10W 0603","0.000"
"R26","RC0603FR-071KL","BottomLayer","R0603","2751.969","350.394","0","RES SMD 1K OHM 1% 1/10W 0603","0.000"
"R25","RC0603FR-0710KL","BottomLayer","R0603","2496.063","905.512","0","RES SMD 10K OHM 1% 1/10W 0603","0.000"
"R24","RC0603JR-07100RL","TopLayer","R0603","2712.598","602.362","180","RES 100 OHM 5% 1/10W 0603","0.000"
"R23","RC0603JR-07560KL","BottomLayer","R0603","2496.063","854.331","180","RES 560K OHM 5% 1/10W 0603","0.000"
"R22","RC0603JR-07100RL","TopLayer","R0603","677.165","1017.717","180","RES 100 OHM 5% 1/10W 0603","0.000"
"R21","RC0603JR-07100RL","TopLayer","R0603","1043.307","110.236","90","RES 100 OHM 5% 1/10W 0603","0.000"
"R20","RC0603JR-07100RL","TopLayer","R0603","539.370","51.181","180","RES 100 OHM 5% 1/10W 0603","0.000"
"R19","RC0603JR-07100RL","TopLayer","R0603","1866.142","1755.905","270","RES 100 OHM 5% 1/10W 0603","0.000"
"R18","RC0603JR-07100RL","TopLayer","R0603","633.858","139.764","270","RES 100 OHM 5% 1/10W 0603","0.000"
"R17","RC0603JR-07100RL","TopLayer","R0603","1805.118","1149.606","90","RES 100 OHM 5% 1/10W 0603","0.000"
"R16","RC0603JR-07100RL","TopLayer","R0603","1899.606","1149.606","90","RES 100 OHM 5% 1/10W 0603","0.000"
"R15","RC0603JR-07100RL","TopLayer","R0603","1852.362","1149.606","90","RES 100 OHM 5% 1/10W 0603","0.000"
